[2014-08-13 10:17:30,687] [DEBUG]: Request complete, Sending results[in wcs.py:86]
[2014-08-13 15:42:08,004] [DEBUG]: Checking logger[in proxy.py:31]
[2014-08-13 15:42:08,004] [DEBUG]: https://wci.earth2observe.eu/thredds/wms/ecmwf/met_forcing_v0/qair_3hourly.nc?item=layerDetails&layerName=Qair&coverage=Qair&request=GetMetadata[in proxy.py:32]
[2014-08-13 15:42:08,004] [DEBUG]: wci.earth2observe.eu[in proxy.py:36]
[2014-08-13 15:42:53,807] [DEBUG]: Checking logger[in proxy.py:31]
[2014-08-13 15:42:53,807] [DEBUG]: https://wci.earth2observe.eu/thredds/wms/ecmwf/met_forcing_v0/qair_3hourly.nc?item=layerDetails&layerName=Qair&coverage=Qair&request=GetMetadata[in proxy.py:32]
[2014-08-13 15:42:53,807] [DEBUG]: wci.earth2observe.eu[in proxy.py:36]
[2014-08-13 15:43:06,173] [DEBUG]: Checking logger[in proxy.py:31]
[2014-08-13 15:43:06,174] [DEBUG]: https://wci.earth2observe.eu/thredds/wms/ecmwf/met_forcing_v0/qair_3hourly.nc?item=minmax&layers=Qair&bbox=-180,-90,180,90&elevation=2.0&time=2013-01-01T00:00:00.000Z&crs=EPSG:4326&srs=EPSG:4326&width=50&height=50&request=GetMetadata[in proxy.py:32]
[2014-08-13 15:43:06,174] [DEBUG]: wci.earth2observe.eu[in proxy.py:36]
[2014-08-13 15:44:08,203] [DEBUG]: Checking logger[in proxy.py:31]
[2014-08-13 15:44:08,203] [DEBUG]: https://wci.earth2observe.eu/thredds/wms/ecmwf/met_forcing_v0/lwdown_3hourly.nc?item=layerDetails&layerName=LWdown&coverage=LWdown&request=GetMetadata[in proxy.py:32]
[2014-08-13 15:44:08,203] [DEBUG]: wci.earth2observe.eu[in proxy.py:36]
[2014-08-13 15:46:19,161] [DEBUG]: Checking logger[in proxy.py:31]
[2014-08-13 15:46:19,162] [DEBUG]: https://wci.earth2observe.eu/thredds/wms/ecmwf/met_forcing_v0/swdown_3hourly.nc?item=layerDetails&layerName=SWdown&coverage=SWdown&request=GetMetadata[in proxy.py:32]
[2014-08-13 15:46:19,162] [DEBUG]: wci.earth2observe.eu[in proxy.py:36]
[2014-08-13 16:03:36,688] [DEBUG]: Checking logger[in proxy.py:31]
[2014-08-13 16:03:36,688] [DEBUG]: https://wci.earth2observe.eu/thredds/wms/ecmwf/met_forcing_v0/swdown_3hourly.nc?item=layerDetails&layerName=SWdown&coverage=SWdown&request=GetMetadata[in proxy.py:32]
[2014-08-13 16:03:36,688] [DEBUG]: wci.earth2observe.eu[in proxy.py:36]
[2014-08-13 16:46:43,181] [DEBUG]: Checking logger[in proxy.py:31]
[2014-08-13 16:46:43,181] [DEBUG]: https://wci.earth2observe.eu/thredds/wms/ecmwf/met_forcing_v0/swdown_3hourly.nc?item=layerDetails&layerName=SWdown&coverage=SWdown&request=GetMetadata[in proxy.py:32]
[2014-08-13 16:46:43,181] [DEBUG]: wci.earth2observe.eu[in proxy.py:36]
[2014-08-13 16:47:42,248] [DEBUG]: None[in wcs.py:27]
[2014-08-13 16:47:42,248] [DEBUG]: URL: https://wci.earth2observe.eu/thredds/wcs/ecmwf/met_forcing_v0/swdown_3hourly.nc?crs=OGC%3ACRS84&service=WCS&format=NetCDF3&request=GetCoverage&version=1.0.0&bbox=-59.765625%2C60.1171875%2C-59.23828125%2C60.29296875&coverage=SWdown&time=2010-03-29%2F2013-01-01[in wcs.py:164]
[2014-08-13 16:47:42,248] [DEBUG]: Processing request...[in wcs.py:29]
[2014-08-13 16:47:42,248] [DEBUG]: https://wci.earth2observe.eu/thredds/wcs/ecmwf/met_forcing_v0/swdown_3hourly.nc?crs=OGC%3ACRS84&service=WCS&format=NetCDF3&request=GetCoverage&version=1.0.0&bbox=-59.765625%2C60.1171875%2C-59.23828125%2C60.29296875&coverage=SWdown&time=2010-03-29%2F2013-01-01[in wcs.py:30]
[2014-08-13 16:47:42,248] [DEBUG]: Contacting WCS Server with request...https://wci.earth2observe.eu/thredds/wcs/ecmwf/met_forcing_v0/swdown_3hourly.nc?crs=OGC%3ACRS84&service=WCS&format=NetCDF3&request=GetCoverage&version=1.0.0&bbox=-59.765625%2C60.1171875%2C-59.23828125%2C60.29296875&coverage=SWdown&time=2010-03-29%2F2013-01-01[in wcs.py:172]
[2014-08-13 16:48:17,105] [DEBUG]: https://wci.earth2observe.eu/thredds/wcs/ecmwf/met_forcing_v0/swdown_3hourly.nc?crs=OGC%3ACRS84&service=WCS&format=NetCDF3&request=GetCoverage&version=1.0.0&bbox=-59.765625%2C60.1171875%2C-59.23828125%2C60.29296875&coverage=SWdown&time=2010-03-29%2F2013-01-01[in wcs.py:174]
[2014-08-13 16:48:17,105] [DEBUG]: Request successful[in wcs.py:175]
[2014-08-13 16:48:17,105] [DEBUG]: Saving out temporary file...[in wcs.py:179]
[2014-08-13 16:48:17,107] [DEBUG]: Temporary file saved successfully[in wcs.py:184]
[2014-08-13 16:48:17,107] [DEBUG]: Opening netCDF file...[in wcs.py:188]
[2014-08-13 16:48:17,107] [DEBUG]: NetCDF file opened[in wcs.py:190]
[2014-08-13 16:48:17,107] [DEBUG]: Checking data...[in wcs.py:223]
[2014-08-13 16:48:17,107] [DEBUG]: Data checked, beginning requested process...[in wcs.py:226]
[2014-08-13 16:48:19,920] [DEBUG]: ========== key:SWdown ===========[in wcs.py:590]
[2014-08-13 16:48:19,920] [DEBUG]: _FillValue[in wcs.py:592]
[2014-08-13 16:48:19,920] [DEBUG]: long_name[in wcs.py:592]
[2014-08-13 16:48:19,920] [DEBUG]: standard_name[in wcs.py:592]
[2014-08-13 16:48:19,920] [DEBUG]: comment[in wcs.py:592]
[2014-08-13 16:48:19,920] [DEBUG]: valid_range[in wcs.py:592]
[2014-08-13 16:48:19,920] [DEBUG]: units[in wcs.py:592]
[2014-08-13 16:48:19,920] [DEBUG]: coordinates[in wcs.py:592]
[2014-08-13 16:48:19,920] [DEBUG]: ========== key:time ===========[in wcs.py:590]
[2014-08-13 16:48:19,920] [DEBUG]: units[in wcs.py:592]
[2014-08-13 16:48:19,921] [DEBUG]: long_name[in wcs.py:592]
[2014-08-13 16:48:19,921] [DEBUG]: standard_name[in wcs.py:592]
[2014-08-13 16:48:19,921] [DEBUG]: calendar[in wcs.py:592]
[2014-08-13 16:48:19,921] [DEBUG]: axis[in wcs.py:592]
[2014-08-13 16:48:19,921] [DEBUG]: _CoordinateAxisType[in wcs.py:592]
[2014-08-13 16:48:21,656] [DEBUG]: starting basic calc[in wcs.py:340]
[2014-08-13 16:48:21,656] [DEBUG]: starting iter of dates[in wcs.py:363]
[2014-08-13 16:48:25,414] [DEBUG]: Finished basic[in wcs.py:388]
[2014-08-13 16:48:25,415] [DEBUG]: Process complete, returning data for transmission...[in wcs.py:230]
[2014-08-13 16:48:25,415] [DEBUG]: Jsonifying response...[in wcs.py:70]
[2014-08-13 16:48:25,464] [DEBUG]: Request complete, Sending results[in wcs.py:86]
[2014-08-13 16:48:43,959] [DEBUG]: None[in wcs.py:27]
[2014-08-13 16:48:43,959] [DEBUG]: URL: https://wci.earth2observe.eu/thredds/wcs/ecmwf/met_forcing_v0/swdown_3hourly.nc?crs=OGC%3ACRS84&service=WCS&format=NetCDF3&request=GetCoverage&version=1.0.0&bbox=-59.765625%2C60.1171875%2C-59.23828125%2C60.29296875&coverage=SWdown&time=2012-12-01%2F2013-01-01[in wcs.py:164]
[2014-08-13 16:48:43,959] [DEBUG]: Processing request...[in wcs.py:29]
[2014-08-13 16:48:43,959] [DEBUG]: https://wci.earth2observe.eu/thredds/wcs/ecmwf/met_forcing_v0/swdown_3hourly.nc?crs=OGC%3ACRS84&service=WCS&format=NetCDF3&request=GetCoverage&version=1.0.0&bbox=-59.765625%2C60.1171875%2C-59.23828125%2C60.29296875&coverage=SWdown&time=2012-12-01%2F2013-01-01[in wcs.py:30]
[2014-08-13 16:48:43,960] [DEBUG]: Contacting WCS Server with request...https://wci.earth2observe.eu/thredds/wcs/ecmwf/met_forcing_v0/swdown_3hourly.nc?crs=OGC%3ACRS84&service=WCS&format=NetCDF3&request=GetCoverage&version=1.0.0&bbox=-59.765625%2C60.1171875%2C-59.23828125%2C60.29296875&coverage=SWdown&time=2012-12-01%2F2013-01-01[in wcs.py:172]
[2014-08-13 16:48:44,135] [DEBUG]: https://wci.earth2observe.eu/thredds/wcs/ecmwf/met_forcing_v0/swdown_3hourly.nc?crs=OGC%3ACRS84&service=WCS&format=NetCDF3&request=GetCoverage&version=1.0.0&bbox=-59.765625%2C60.1171875%2C-59.23828125%2C60.29296875&coverage=SWdown&time=2012-12-01%2F2013-01-01[in wcs.py:174]
[2014-08-13 16:48:44,135] [DEBUG]: Request successful[in wcs.py:175]
[2014-08-13 16:48:44,135] [DEBUG]: Saving out temporary file...[in wcs.py:179]
[2014-08-13 16:48:44,136] [DEBUG]: Temporary file saved successfully[in wcs.py:184]
[2014-08-13 16:48:44,136] [DEBUG]: Opening netCDF file...[in wcs.py:188]
[2014-08-13 16:48:44,136] [DEBUG]: NetCDF file opened[in wcs.py:190]
[2014-08-13 16:48:44,136] [DEBUG]: Checking data...[in wcs.py:223]
[2014-08-13 16:48:44,137] [DEBUG]: Data checked, beginning requested process...[in wcs.py:226]
[2014-08-13 16:48:44,224] [DEBUG]: ========== key:SWdown ===========[in wcs.py:590]
[2014-08-13 16:48:44,225] [DEBUG]: _FillValue[in wcs.py:592]
[2014-08-13 16:48:44,225] [DEBUG]: long_name[in wcs.py:592]
[2014-08-13 16:48:44,225] [DEBUG]: standard_name[in wcs.py:592]
[2014-08-13 16:48:44,225] [DEBUG]: comment[in wcs.py:592]
[2014-08-13 16:48:44,225] [DEBUG]: valid_range[in wcs.py:592]
[2014-08-13 16:48:44,225] [DEBUG]: units[in wcs.py:592]
[2014-08-13 16:48:44,225] [DEBUG]: coordinates[in wcs.py:592]
[2014-08-13 16:48:44,225] [DEBUG]: ========== key:time ===========[in wcs.py:590]
[2014-08-13 16:48:44,225] [DEBUG]: units[in wcs.py:592]
[2014-08-13 16:48:44,225] [DEBUG]: long_name[in wcs.py:592]
[2014-08-13 16:48:44,226] [DEBUG]: standard_name[in wcs.py:592]
[2014-08-13 16:48:44,226] [DEBUG]: calendar[in wcs.py:592]
